year,popsize,propmig,He,Ho,meanRRS,nadults,k,nSNP,nMicro,maxage,broodsize,maturity,years,r0,ratemort,V17
84,50,0.22,0.40992,0.38,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
85,51,0.254901960784314,0.415570934256055,0.372549019607843,NA,48,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
86,54,0.314814814814815,0.434465020576132,0.377777777777778,NA,50,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
87,49,0.26530612244898,0.441461890878801,0.402040816326531,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
88,48,0.25,0.439344618055556,0.397916666666667,NA,44,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
89,54,0.296296296296296,0.450771604938272,0.409259259259259,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
90,50,0.26,0.44976,0.416,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
91,48,0.25,0.460026041666667,0.441666666666667,NA,43,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
92,48,0.270833333333333,0.463975694444444,0.454166666666667,NA,43,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
93,48,0.25,0.468120659722222,0.439583333333333,NA,43,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
94,49,0.224489795918367,0.469096209912536,0.440816326530612,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
95,50,0.24,0.46692,0.444,NA,46,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
96,49,0.224489795918367,0.457830070803832,0.397959183673469,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
97,52,0.25,0.458783284023669,0.409615384615385,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
98,50,0.26,0.45248,0.392,NA,45,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
99,52,0.25,0.443990384615385,0.386538461538462,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
100,52,0.25,0.434855769230769,0.375,NA,47,1000,10,100,9,2,1,100,0.1,0.0555555555555556,2
1,955,0.00523560209424084,0.420525862777884,0.360628272251309,NA,606,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
2,913,0.00985761226725082,0.42376899812733,0.362322015334063,NA,906,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
3,877,0.0136830102622577,0.425633281283114,0.361459521094641,NA,865,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
4,847,0.0153482880755608,0.427347719362316,0.363164108618654,NA,832,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
5,821,0.0170523751522534,0.428351168549094,0.363824604141291,NA,804,1000,10,100,9,2,1,100,0.1,0.0555555555555556,3
