year,popsize,propmig,He,Ho,meanRRS,nadults,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort,plotit,V21
72,75,0.24,0.420986666666667,0.406666666666667,NA,68,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
73,73,0.205479452054795,0.418070932632764,0.402739726027397,NA,66,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
74,74,0.202702702702703,0.409103360116874,0.37972972972973,NA,67,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
75,73,0.219178082191781,0.402636517170201,0.352054794520548,NA,67,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
76,73,0.191780821917808,0.398282979921186,0.363013698630137,NA,65,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
77,75,0.2,0.393333333333333,0.354666666666667,NA,68,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
78,70,0.185714285714286,0.396969387755102,0.375714285714286,NA,66,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
79,72,0.222222222222222,0.377517361111111,0.340277777777778,NA,66,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
80,69,0.202898550724638,0.360533501365259,0.327536231884058,NA,63,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
81,65,0.184615384615385,0.350520710059172,0.306153846153846,NA,60,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
82,68,0.220588235294118,0.348118512110727,0.305882352941176,NA,61,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
83,67,0.208955223880597,0.344675874359546,0.311940298507463,NA,61,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
84,67,0.194029850746269,0.330274003118735,0.304477611940298,NA,61,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
85,63,0.158730158730159,0.3281179138322,0.279365079365079,NA,56,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
86,63,0.19047619047619,0.346674225245654,0.29047619047619,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
87,64,0.171875,0.334326171875,0.303125,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,2
