YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,LRSmigs,LRSnative,project,group
239,192,1.296875,1.50405755745106,1.26190476190476,1.32407407407407,0.0997596153846154,0.115696735188543,1,3,NaN,1.296875,_proj_,_group_
240,179,1.36871508379888,1.49843514717081,1.41463414634146,1.32989690721649,0.105285775676837,0.115264242090063,1,3,NaN,1.36871508379888,_proj_,_group_
241,174,1.51149425287356,1.64383066560769,1.69565217391304,1.39047619047619,0.116268788682582,0.126448512739053,1,3,NaN,1.51149425287356,_proj_,_group_
242,178,1.21910112359551,1.45837742857585,1.34065934065934,1.09195402298851,0.0937770095073466,0.11218287912122,1,3,NaN,1.21910112359551,_proj_,_group_
243,195,1.47692307692308,1.70300848689121,1.53921568627451,1.40860215053763,0.113609467455621,0.131000652837785,1,3,NaN,1.47692307692308,_proj_,_group_
244,181,1.40883977900552,1.45630021392414,1.36708860759494,1.44117647058824,0.108372290692733,0.11202309337878,1,3,NaN,1.40883977900552,_proj_,_group_
245,176,1.53977272727273,1.81063775805905,1.58241758241758,1.49411764705882,0.118444055944056,0.139279827543004,1,3,NaN,1.53977272727273,_proj_,_group_
246,198,1.27272727272727,1.41290773239715,1.18,1.36734693877551,0.0979020979020979,0.108685210184396,1,3,NaN,1.27272727272727,_proj_,_group_
247,205,1.2,1.3187932689677,1.30769230769231,1.1140350877193,0.0923076923076923,0.101445636074438,1,3,NaN,1.2,_proj_,_group_
248,216,0.680555555555556,1.06739921550998,0.663716814159292,0.699029126213592,0.0523504273504274,0.0821076319623061,1,3,NaN,0.680555555555556,_proj_,_group_
249,221,0,0,0,0,0,0,1,3,NaN,0,_proj_,_group_
250,227,0,0,0,0,0,0,1,3,NaN,0,_proj_,_group_
0,912,0.708333333333333,1.14503493955706,0.690697674418605,0.724066390041494,0.0590277777777778,0.0954195782964217,1,4,NaN,0.708333333333333,_proj_,_group_
1,10,1.7,2.66874918683308,1.2,2.2,0.141666666666667,0.222395765569423,1,4,NaN,1.7,_proj_,_group_
2,92,0.989130434782609,1.24472129558345,1.28947368421053,0.777777777777778,0.082427536231884,0.103726774631954,1,4,NaN,0.989130434782609,_proj_,_group_
3,132,1.46212121212121,1.48994237826131,1.45614035087719,1.46666666666667,0.121843434343434,0.124161864855109,1,4,NaN,1.46212121212121,_proj_,_group_
4,164,1.38414634146341,1.55630280083943,1.6,1.20224719101124,0.115345528455285,0.129691900069952,1,4,NaN,1.38414634146341,_proj_,_group_
5,181,1.46408839779006,1.5864295596395,1.6043956043956,1.32222222222222,0.122007366482505,0.132202463303292,1,4,NaN,1.46408839779006,_proj_,_group_
6,188,1.21808510638298,1.34454435483919,1.30769230769231,1.1340206185567,0.101507092198582,0.112045362903266,1,4,NaN,1.21808510638298,_proj_,_group_
7,186,1.2258064516129,1.32035238750926,1.28089887640449,1.17525773195876,0.102150537634409,0.110029365625771,1,4,NaN,1.2258064516129,_proj_,_group_
8,157,1.42675159235669,1.70295302213255,1.55813953488372,1.26760563380282,0.118895966029724,0.141912751844379,1,4,NaN,1.42675159235669,_proj_,_group_
9,173,1.30635838150289,1.53782352576535,1.28,1.3265306122449,0.108863198458574,0.128151960480446,1,4,NaN,1.30635838150289,_proj_,_group_
10,180,1.33888888888889,1.62440840589724,1.54022988505747,1.1505376344086,0.111574074074074,0.135367367158103,1,4,NaN,1.33888888888889,_proj_,_group_
11,180,1.35555555555556,1.37260597975795,1.1547619047619,1.53125,0.112962962962963,0.114383831646496,1,4,NaN,1.35555555555556,_proj_,_group_
12,177,1.38418079096045,1.67175008023487,1.46590909090909,1.30337078651685,0.115348399246704,0.139312506686239,1,4,NaN,1.38418079096045,_proj_,_group_
13,184,1.13586956521739,1.35017355870699,1.31111111111111,0.968085106382979,0.0946557971014493,0.112514463225583,1,4,NaN,1.13586956521739,_proj_,_group_
14,176,1.38068181818182,1.4687104512498,1.45161290322581,1.30120481927711,0.115056818181818,0.12239253760415,1,4,NaN,1.38068181818182,_proj_,_group_
15,179,1.1731843575419,1.32315439602073,1.25,1.11650485436893,0.0977653631284916,0.110262866335061,1,4,NaN,1.1731843575419,_proj_,_group_
