YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
151,10,0.6,0.843274043,0.6,0.6,0.06,0.843274043,1,b,blue,0
152,19,0.526315789,1.123902974,0.8,0.222222222,0.052631579,1.123902974,1,b,blue,0
153,17,0.352941176,0.492592183,0.428571429,0.3,0.035294118,0.492592183,1,b,blue,0
154,18,0.722222222,1.227410261,0.571428571,0.818181818,0.072222222,1.227410261,1,b,blue,0
155,16,0.4375,0.62915287,0.571428571,0.333333333,0.04375,0.62915287,1,b,blue,0
156,18,1.277777778,1.274434387,1.111111111,1.444444444,0.127777778,1.274434387,1,b,blue,0
157,16,0.9375,1.181453907,0.75,1.125,0.09375,1.181453907,1,b,blue,0
158,18,0.611111111,0.849836586,1,0.363636364,0.061111111,0.849836586,1,b,blue,0
159,16,0.75,0.774596669,1.142857143,0.444444444,0.075,0.774596669,1,b,blue,0
160,15,0.666666667,0.816496581,0.8,0.6,0.066666667,0.816496581,1,b,blue,0
161,14,1,1.240347346,1.25,0.666666667,0.1,1.240347346,1,b,blue,0
162,17,0.823529412,0.882843001,0.555555556,1.125,0.082352941,0.882843001,1,b,blue,0
163,16,1.0625,1.768945072,0.666666667,1.571428571,0.10625,1.768945072,1,b,blue,0
164,19,0.789473684,1.134261746,0.818181818,0.75,0.078947368,1.134261746,1,b,blue,0
165,17,0.588235294,1.121317502,1,0.416666667,0.058823529,1.121317502,1,b,blue,0
166,16,1.3125,1.662077014,1.125,1.5,0.13125,1.662077014,1,b,blue,0
167,16,0.5,0.894427191,0.2,0.636363636,0.05,0.894427191,1,b,blue,0
168,17,0.294117647,0.685994341,0.285714286,0.3,0.029411765,0.685994341,1,b,blue,0
169,15,1.4,1.594633859,1.888888889,0.666666667,0.14,1.594633859,1,b,blue,0
170,22,1,1.573591585,1,1,0.1,1.573591585,1,b,blue,0
171,19,1.736842105,1.880960312,2.375,1.272727273,0.173684211,1.880960312,1,b,blue,0
172,24,1.208333333,1.587427963,1.444444444,1.066666667,0.120833333,1.587427963,1,b,blue,0
173,23,1.826086957,1.585507487,1.666666667,2.125,0.182608696,1.585507487,1,b,blue,0
